input_color,output_color
#a71e34,#b21e35
#b21e35,#a71e34
#a71e34,#bd1f36
#bd1f36,#c71f37
#c71f37,#da1e37
#da1e37,#e01e37
#e01e37,#641220
#424874,#dcd6f7
#dcd6f7,#a6b1e1
#cacfd6,#d6e5e3
#d6e5e3,#424874
#b41c51,#b050d7
#b050d7,#f3edea
#f3edea,#9bdfdd
#9bdfdd,#301f5c
#f3edea,#e2cfa9
#ff0000,#e5730e
#ff0000,#daba80
#ff0000,#4a8a6b
#ff0000,#eaa322
#ff0000,#717EC3
#ff0000,#496DDB
#ff0000,#E5CDC8
#ff0000,#eaa147
#f9ff00,#cdcf3d
#f9ff00,#dfba2e
#f9ff00,#d0cc52
#f9ff01,#e1b361
#f9ff02,#cdcf3d
#f9ff03,#dfaf60
#f9ff04,#a0cf1f
#f9ff05,#dcae60
#f9ff06,#613544
#f9ff07,#649d6c
#f9ff08,#deb162
#f9ff09,#613544
#f9ff10,#5083ae
#f9ff11,#b1d490
#f9ff12,#5083ae
#33ff00,#6ed62c
#33ff01,#25bc5a
#33ff02,#99d096
#33ff03,#b9706c
#33ff04,#6bc75c
#33ff05,#c4a92d
#33ff06,#e57cc3
#33ff07,#30c186
#33ff08,#99d096
#33ff09,#96b727
#33ff10,#aa5a5c
#33ff11,#c45130
#33ff12,#b73542
#33ff13,#c2a72c
#00ffec,#96e951
#00ffec,#f7c168
#00ffec,#dc4663
#00ffec,#e85c43
#00ffec,#89b7ad
#00ffec,#d0d13e
#00ffec,#20ba6e
#00ffec,#d0d13e
#00ffec,#35c4b9
#00ffec,#d0d13e
#00ffec,#29c899
#00ffec,#96e951
#00ffec,#2ecbb9
#00ffec,#3ab86d
#00ffec,#229cb0
#00ffec,#96e951
#00ffec,#249eb2
#00ffec,#d5292e
#00ffec,#66160d
#00ffec,#af3523
#00ffec,#d0d13e
#00ffec,#dc4663
#00ffec,#f7c168
#00ffec,#96e951
#00ffec,#bd4955
#0039ff,#0c439f
#0039ff,#d4b820
#0039ff,#0c439f
#0039ff,#bd9d67
#0039ff,#d4b820
#0039ff,#b0d191
#0039ff,#0d4c89
#0039ff,#953332
#0039ff,#fb301f
#0039ff,#044559
#0039ff,#4297c1
#0039ff,#1a9aad
#0039ff,#0d4c89
#0039ff,#044559
#0039ff,#d4b820
#0039ff,#943531
#0039ff,#de9917
#0039ff,#ba530c
#0039ff,#d12834
#ff00c6,#cd6770
#ff00c7,#342d4a
#ff00c8,#934b5e
#ff00c9,#e2914d
#ff00c10,#ce7b65
#ff00c11,#d17f66
#ff00c12,#342d4a
#ff00c13,#e49d96
#ff00c14,#6fd03c
#ff00c15,#b8dd4a
#ff00c16,#35a34e
#ff00c17,#df6379
#ff00c18,#2f9e42
#ff00c19,#e3c974
#ff00c20,#bb4d75
#ff00c21,#6fd03c
#ff00c22,#326d8d
#ff00c23,#2ed7eb
#ff00c24,#b8dd4a
#ff00c25,#35a34e
#1be7ff,#6eeb83
#6eeb83,#e4ff1a
#e4ff1a,#e8aa14
#e8aa14,#ff5714
#ff5714,#1be7ff
#31393c,#2176ff
#2176ff,#33a1fd
#33a1fd,#fdca40
#fdca40,#f79824
#f79824,#31393c
#c200fb,#ec0868
#ec0868,#fc2f00
#fc2f00,#ec7d10
#ec7d10,#ffbc0a
#ffbc0a,#c200fb
#fb6107,#f3de2c
#f3de2c,#7cb518
#7cb518,#5c8001
#5c8001,#fbb02d
#fbb02d,#fb6107
#ff6d00,#9d4edd
#ff7900,#7b2cbf
#5a189a,#ff8500
#3a86ff,#ff006e
#4C191B,#963D5A
#963D5A,#C589E8
#C589E8,#E3DAFF
#E3DAFF,#ECFFF8
#ECFFF8,#9984D4
#9984D4,#592E83
#592E83,#230C33
#230C33,#B27C66
#C1ABA6,#533B4D
#533B4D,#F564A9
#F564A9,#FAA4BD
#FAA4BD,#FAE3C6
#38023B,#A288E3
#A288E3,#BBD5ED
#BBD5ED,#CEFDFF
#CEFDFF,#CCFFCB
#FAF3DD,#C8D5B9
#C8D5B9,#8FC0A9
#8FC0A9,#68B0AB
#68B0AB,#4A7C59
#4A7C59,#8FC0A9
#202C39,#283845
#283845,#B8B08D
#B8B08D,#F2D492
#F2D492,#F29559
#ECC8AF,#E7AD99
#E7AD99,#CE796B
#CE796B,#C18C5D
#C18C5D,#495867
#D4DCFF,#7D83FF
#7D83FF,#007FFF
#007FFF,#1AFFD5
#1AFFD5,#590925
#CAE7B9,#F3DE8A
#F3DE8A,#EB9486
#EB9486,#7E7F9A
#7E7F9A,#97A7B3
#FAF8D4,#EBDCCB
#EBDCCB,#C3BAAA
#C3BAAA,#91818A
#91818A,#B2A3B5
#7BC950,#7CE577
#7CE577,#9CFFD9
#9CFFD9,#B6EFD4
#B6EFD4,#A0CCDA
#381D2A,#3E6990
#3E6990,#AABD8C
#AABD8C,#E9E3B4
#E9E3B4,#F39B6D
#3A4F41,#B9314F
#B9314F,#D5A18E
#D5A18E,#DEC3BE
#DEC3BE,#E1DEE3
#B47EB3,#FDF5BF
#FDF5BF,#FFD5FF
#FFD5FF,#92D1C3
#92D1C3,#8BB8A8
#41D3BD,#FFFFF2
#FFFFF2,#791E94
#791E94,#DE6449
#DE6449,#407899
#424342,#244F26
#244F26,#256D1B
#256D1B,#149911
#149911,#1EFC1E
#244F26,#149911
#80A1C1,#EEE3AB
#EEE3AB,#D9CFC1
#D9CFC1,#A77E58
#A77E58,#BA3F1D
#BA3F1D,#80A1C1
#090909,#4B5043
#4B5043,#9BC4BC
#9BC4BC,#D3FFE9
#D3FFE9,#8DDBE0
#880D1E,#DD2D4A
#DD2D4A,#F26A8D
#F26A8D,#F49CBB
#F49CBB,#CBEEF3
#022F40,#38AECC
#38AECC,#0090C1
#0090C1,#183446
#183446,#046E8F
#C7EAE4,#A7E8BD
#A7E8BD,#FCBCB8
#FCBCB8,#EFA7A7
#EFA7A7,#FFD972
#011627,#FF0022
#FF0022,#41EAD4
#41EAD4,#FDFFFC
#FDFFFC,#B91372
#FFFFFF,#3B413C
#9DB5B2,#FFFFFF
#DAF0EE,#FFFFFF
#9DB5B2,#DAF0EE
#DAF0EE,#94D1BE
#048A81,#06D6A0
#06D6A0,#54C6EB
#54C6EB,#8A89C0
#8A89C0,#CDA2AB
#AFD2E9,#9D96B8
#9D96B8,#9A7197
#9A7197,#886176
#886176,#7C5869
#9A7197,#7C5869
#9D96B8,#886176
#CEE0DC,#B9CFD4
#B9CFD4,#AFAAB9
#AFAAB9,#B48291
#B48291,#A5243D
#CFFCFF,#AAEFDF
#AAEFDF,#9EE37D
#9EE37D,#63C132
#63C132,#358600
#D3C4E3,#8F95D3
#FFC9B5,#F7B1AB
#F7B1AB,#D8AA96
#D8AA96,#807182
#807182,#C7D3BF
#30362F,#625834
#625834,#A59132
#A59132,#FFFBDB
#FFFBDB,#DA7422
#DFD6A7,#F7CE5B
#F7CE5B,#F7B05B
#F7B05B,#AF9B46
#AF9B46,#1F1300
#6C9A8B,#E8998D
#E8998D,#EED2CC
#EED2CC,#FBF7F4
#FBF7F4,#A1683A
#FE5F55,#F0B67F
#F0B67F,#D6D1B1
#D6D1B1,#C7EFCF
#C7EFCF,#EEF5DB
#C6D8FF,#71A9F7
#71A9F7,#6B5CA5
#6B5CA5,#72195A
#72195A,#4C1036
#517664,#2D3319
#584D3D,#9F956C
#9F956C,#CBBF7A
#CBBF7A,#F4E87C
#F4E87C,#EBF38B
#EAF0CE,#C0C5C1
#C0C5C1,#7D8491
#7D8491,#574B60
#574B60,#3F334D
#102542,#F87060
#F87060,#CDD7D6
#CDD7D6,#B3A394
#B3A394,#FFFFFF
#565656,#B2FFA9
#B2FFA9,#FF4A1C
#FF4A1C,#81523F
#81523F,#3F2A2B
#2E0014,#442220
#442220,#809848
#809848,#B0CA87
#B0CA87,#B5DEAD
#463F3A,#8A817C
#8A817C,#BCB8B1
#BCB8B1,#F4F3EE
#F4F3EE,#E0AFA0
#4F6D7A,#C0D6DF
#C0D6DF,#DBE9EE
#DBE9EE,#4A6FA5
#4A6FA5,#166088
#4381C1,#BDADEA
#BDADEA,#BEA2C2
#A37871,#4E4B5C
#FF0000,#004777
#EFD28D,#004777
#EFD28D,#00AFB5
#00AFB5,#251605
#29335C,#FF0000
#0022FF,#000F08
#0022FF,#080705
#0022FF,#60AFFF
#0022FF,#E3B505
#DAA89B,#AE847E
#AE847E,#2C0E37
#2C0E37,#690375
#690375,#CB429F
